"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2021","1.753,95","1.754,10","1.761,10","1.750,05","-","-0,01%"
"10.10.2021","1.754,20","1.757,25","1.758,65","1.751,20","-","-0,18%"
"08.10.2021","1.757,40","1.757,00","1.782,40","1.753,60","240,37K","-0,10%"
"07.10.2021","1.759,20","1.763,80","1.767,70","1.752,00","146,41K","-0,15%"
"06.10.2021","1.761,80","1.760,50","1.765,90","1.745,40","159,22K","0,05%"
"05.10.2021","1.760,90","1.770,80","1.771,10","1.748,60","151,42K","-0,38%"
"04.10.2021","1.767,60","1.762,60","1.771,50","1.747,70","166,18K","0,52%"
"01.10.2021","1.758,40","1.757,20","1.765,20","1.749,90","151,20K","0,08%"
"30.09.2021","1.757,00","1.726,00","1.765,00","1.721,80","246,37K","1,98%"
"29.09.2021","1.722,90","1.734,00","1.746,00","1.721,10","177,39K","-0,84%"
"28.09.2021","1.737,50","1.750,00","1.754,30","1.727,80","215,84K","-0,83%"
"27.09.2021","1.752,00","1.751,80","1.760,90","1.744,70","137,57K","0,02%"
"24.09.2021","1.751,70","1.743,70","1.758,00","1.740,20","151,55K","0,11%"
"23.09.2021","1.749,80","1.769,20","1.777,10","1.737,50","225,46K","-1,63%"
"22.09.2021","1.778,80","1.775,00","1.788,40","1.764,60","172,35K","0,03%"
"21.09.2021","1.778,20","1.765,50","1.782,80","1.758,30","141,62K","0,82%"
"20.09.2021","1.763,80","1.754,20","1.768,40","1.742,30","152,45K","0,71%"
"17.09.2021","1.751,40","1.754,60","1.767,80","1.747,10","183,25K","-0,30%"
"16.09.2021","1.756,70","1.795,50","1.797,30","1.745,50","255,27K","-2,12%"
"15.09.2021","1.794,80","1.806,60","1.808,50","1.791,70","139,30K","-0,68%"
"14.09.2021","1.807,10","1.794,80","1.810,60","1.780,60","197,95K","0,71%"
"13.09.2021","1.794,40","1.789,80","1.800,20","1.784,40","114,31K","0,13%"
"10.09.2021","1.792,10","1.796,20","1.806,00","1.788,20","136,25K","-0,44%"
"09.09.2021","1.800,00","1.790,90","1.803,40","1.785,10","154,13K","0,36%"
"08.09.2021","1.793,50","1.796,10","1.804,40","1.783,10","161,26K","-0,28%"
"07.09.2021","1.798,50","1.833,50","1.833,50","1.793,70","252,48K","-1,49%"
"06.09.2021","1.825,65","1.829,95","1.830,65","1.823,65","-","-0,24%"
"05.09.2021","1.830,05","1.832,20","1.832,50","1.829,65","-","-0,20%"
"03.09.2021","1.833,70","1.811,50","1.836,90","1.810,90","184,98K","1,23%"
"02.09.2021","1.811,50","1.816,20","1.819,60","1.806,50","113,03K","-0,25%"
"01.09.2021","1.816,00","1.816,70","1.822,70","1.810,60","140,12K","-0,12%"
"31.08.2021","1.818,10","1.812,20","1.821,90","1.803,40","170,39K","0,33%"
"30.08.2021","1.812,20","1.821,60","1.826,50","1.810,00","104,88K","-0,40%"
"27.08.2021","1.819,50","1.795,20","1.821,90","1.785,20","203,64K","1,35%"
"26.08.2021","1.795,20","1.793,00","1.800,40","1.781,30","134,53K","0,23%"
"25.08.2021","1.791,00","1.805,10","1.805,30","1.784,00","163,46K","-0,97%"
"24.08.2021","1.808,50","1.807,60","1.812,20","1.802,60","114,79K","0,12%"
"23.08.2021","1.806,30","1.781,20","1.809,10","1.778,00","156,32K","1,25%"
"20.08.2021","1.784,00","1.782,80","1.791,00","1.780,00","107,97K","0,05%"
"19.08.2021","1.783,10","1.789,50","1.795,00","1.774,60","151,25K","-0,07%"
"18.08.2021","1.784,40","1.787,80","1.795,70","1.778,80","132,73K","-0,19%"
"17.08.2021","1.787,80","1.789,10","1.797,60","1.782,10","144,82K","-0,11%"
"16.08.2021","1.789,80","1.780,90","1.791,30","1.772,00","137,70K","0,65%"
"13.08.2021","1.778,20","1.754,40","1.781,90","1.753,00","144,81K","1,51%"
"12.08.2021","1.751,80","1.752,90","1.759,60","1.742,60","137,12K","-0,09%"
"11.08.2021","1.753,30","1.730,40","1.756,70","1.724,60","185,44K","1,25%"
"10.08.2021","1.731,70","1.732,00","1.739,40","1.718,50","182,56K","0,30%"
"09.08.2021","1.726,50","1.765,00","1.765,70","1.677,90","289,54K","-2,08%"
"06.08.2021","1.763,10","1.806,70","1.807,00","1.759,50","323,15K","-2,53%"
"05.08.2021","1.808,90","1.814,90","1.817,90","1.799,70","169,84K","-0,31%"
"04.08.2021","1.814,50","1.813,70","1.835,90","1.808,30","244,68K","0,02%"
"03.08.2021","1.814,10","1.816,80","1.818,20","1.809,50","103,45K","-0,44%"
"02.08.2021","1.822,20","1.817,00","1.823,20","1.808,20","159,76K","0,28%"
"30.07.2021","1.817,20","1.832,50","1.835,50","1.813,10","157,14K","-1,01%"
"29.07.2021","1.835,80","1.811,50","1.837,50","1.810,90","212,07K","1,73%"
