edad,grupo
34.0,Joven
29.0,Joven
36.0,Joven
44.0,Joven
28.0,Joven
28.0,Joven
44.0,Joven
37.0,Joven
26.0,Joven
35.0,Joven
26.0,Joven
26.0,Joven
32.0,Joven
18.0,Joven
18.0,Joven
25.0,Joven
21.0,Joven
33.0,Joven
22.0,Joven
18.0,Joven
43.0,Joven
28.0,Joven
31.0,Joven
18.0,Joven
25.0,Joven
31.0,Joven
20.0,Joven
33.0,Joven
25.0,Joven
27.0,Joven
25.0,Joven
47.0,Joven
30.0,Joven
20.0,Joven
37.0,Joven
19.0,Joven
32.0,Joven
18.0,Joven
18.0,Joven
32.0,Joven
37.0,Joven
32.0,Joven
29.0,Joven
27.0,Joven
18.0,Joven
24.0,Joven
26.0,Joven
40.0,Joven
33.0,Joven
18.0,Joven
33.0,Joven
27.0,Joven
24.0,Joven
36.0,Joven
39.0,Joven
38.0,Joven
22.0,Joven
27.0,Joven
33.0,Joven
39.0,Joven
26.0,Joven
28.0,Joven
20.0,Joven
19.0,Joven
37.0,Joven
42.0,Joven
29.0,Joven
39.0,Joven
33.0,Joven
24.0,Joven
33.0,Joven
44.0,Joven
30.0,Joven
44.0,Joven
18.0,Joven
37.0,Joven
31.0,Joven
27.0,Joven
31.0,Joven
18.0,Joven
28.0,Joven
33.0,Joven
43.0,Joven
25.0,Joven
23.0,Joven
25.0,Joven
38.0,Joven
33.0,Joven
25.0,Joven
35.0,Joven
31.0,Joven
39.0,Joven
24.0,Joven
27.0,Joven
26.0,Joven
18.0,Joven
33.0,Joven
32.0,Joven
30.0,Joven
28.0,Joven
18.0,Joven
26.0,Joven
27.0,Joven
23.0,Joven
29.0,Joven
34.0,Joven
47.0,Joven
32.0,Joven
32.0,Joven
29.0,Joven
18.0,Joven
30.0,Joven
31.0,Joven
52.0,Joven
28.0,Joven
33.0,Joven
30.0,Joven
19.0,Joven
40.0,Joven
37.0,Joven
37.0,Joven
22.0,Joven
43.0,Joven
18.0,Joven
35.0,Joven
50.0,Joven
21.0,Joven
25.0,Joven
31.0,Joven
25.0,Joven
18.0,Joven
31.0,Joven
20.0,Joven
34.0,Joven
22.0,Joven
44.0,Joven
23.0,Joven
27.0,Joven
37.0,Joven
19.0,Joven
32.0,Joven
42.0,Joven
18.0,Joven
32.0,Joven
32.0,Joven
37.0,Joven
19.0,Joven
18.0,Joven
35.0,Joven
33.0,Joven
32.0,Joven
33.0,Joven
24.0,Joven
32.0,Joven
33.0,Joven
24.0,Joven
47.0,Joven
34.0,Joven
19.0,Joven
36.0,Joven
21.0,Joven
37.0,Joven
40.0,Joven
23.0,Joven
39.0,Joven
34.0,Joven
37.0,Joven
47.0,Joven
28.0,Joven
23.0,Joven
22.0,Joven
23.0,Joven
29.0,Joven
33.0,Joven
32.0,Joven
37.0,Joven
30.0,Joven
43.0,Joven
28.0,Joven
54.0,Joven
36.0,Joven
22.0,Joven
20.0,Joven
34.0,Joven
28.0,Joven
36.0,Joven
34.0,Joven
29.0,Joven
22.0,Joven
18.0,Joven
26.0,Joven
38.0,Joven
32.0,Joven
19.0,Joven
32.0,Joven
33.0,Joven
22.0,Joven
31.0,Joven
31.0,Joven
20.0,Joven
33.0,Joven
35.0,Joven
40.0,Joven
39.0,Joven
18.0,Joven
22.0,Joven
35.0,Joven
35.0,Joven
35.0,Joven
65.0,Joven
35.0,Joven
40.0,Joven
39.0,Joven
36.0,Joven
27.0,Joven
37.0,Joven
23.0,Joven
28.0,Joven
26.0,Joven
31.0,Joven
51.0,Joven
18.0,Joven
36.0,Joven
18.0,Joven
26.0,Joven
40.0,Joven
31.0,Joven
20.0,Joven
24.0,Joven
36.0,Joven
23.0,Joven
32.0,Joven
30.0,Joven
24.0,Joven
49.0,Joven
36.0,Joven
18.0,Joven
32.0,Joven
24.0,Joven
38.0,Joven
23.0,Joven
29.0,Joven
35.0,Joven
38.0,Joven
19.0,Joven
27.0,Joven
26.0,Joven
24.0,Joven
46.0,Joven
34.0,Joven
19.0,Joven
38.0,Joven
49.0,Joven
39.0,Joven
18.0,Joven
26.0,Joven
41.0,Joven
24.0,Joven
34.0,Joven
37.0,Joven
22.0,Joven
29.0,Joven
18.0,Joven
21.0,Joven
28.0,Joven
19.0,Joven
45.0,Joven
18.0,Joven
26.0,Joven
31.0,Joven
43.0,Joven
18.0,Joven
40.0,Joven
30.0,Joven
21.0,Joven
34.0,Joven
32.0,Joven
25.0,Joven
31.0,Joven
27.0,Joven
31.0,Joven
36.0,Joven
44.0,Joven
19.0,Joven
49.0,Joven
18.0,Joven
29.0,Joven
35.0,Joven
33.0,Joven
24.0,Joven
28.0,Joven
26.0,Joven
25.0,Joven
38.0,Joven
33.0,Joven
24.0,Joven
38.0,Joven
33.0,Joven
37.0,Joven
36.0,Joven
23.0,Joven
25.0,Joven
37.0,Joven
35.0,Joven
30.0,Joven
31.0,Joven
41.0,Joven
25.0,Joven
35.0,Joven
28.0,Joven
28.0,Joven
40.0,Joven
37.0,Joven
37.0,Joven
42.0,Joven
30.0,Joven
36.0,Joven
